"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"986","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","445","912635","0.0-2.0-5.73","JW","1","pretest","true","3676266","52","../img/tt/1013tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","446","912851","0.0-2.0-0.74","JW","1","pretest","true","3676266","null","","",""
"null","../img/tt/1058tt.jpg","","mooney1","image-keyboard-response","447","915869","0.0-2.0-1.74","JW","1","pretest","true","3676266","null","../img/tt/1058tt.jpg","",""
"534","<p></p>","","recognized","html-keyboard-response","448","916403","0.0-2.0-2.74","JW","1","pretest","true","3676266","89","../img/tt/1058tt.jpg","y",""
"null","../img/gs/1058gs.jpg","","solution","image-keyboard-response","449","918405","0.0-2.0-3.74","JW","1","pretest","true","3676266","null","","",""
"null","../img/tt/1058tt.jpg","","mooney2","image-keyboard-response","450","920407","0.0-2.0-4.74","JW","1","pretest","true","3676266","null","","",""
"2816","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","451","923224","0.0-2.0-5.74","JW","1","pretest","true","3676266","49","../img/tt/1058tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","452","923428","0.0-2.0-0.75","JW","1","pretest","true","3676266","null","","",""
"null","../img/tt/1269tt.jpg","","mooney1","image-keyboard-response","453","926434","0.0-2.0-1.75","JW","1","pretest","true","3676266","null","../img/tt/1269tt.jpg","",""
"568","<p></p>","","recognized","html-keyboard-response","454","927004","0.0-2.0-2.75","JW","1","pretest","true","3676266","89","../img/tt/1269tt.jpg","y",""
"null","../img/gs/1269gs.jpg","","solution","image-keyboard-response","455","929022","0.0-2.0-3.75","JW","1","pretest","true","3676266","null","","",""
"null","../img/tt/1269tt.jpg","","mooney2","image-keyboard-response","456","931023","0.0-2.0-4.75","JW","1","pretest","true","3676266","null","","",""
