"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"1253","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1387","2317644","0.0-2.0-5.230","EV","1","pretest","true","3586639","53","../img/tt/1204tt.jpg","","5"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1388","2317846","0.0-2.0-0.231","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1147tt.jpg","","mooney1","image-keyboard-response","1389","2320850","0.0-2.0-1.231","EV","1","pretest","true","3586639","null","../img/tt/1147tt.jpg","",""
"320","<p></p>","","recognized","html-keyboard-response","1390","2321172","0.0-2.0-2.231","EV","1","pretest","true","3586639","89","../img/tt/1147tt.jpg","y",""
"null","../img/gs/1147gs.jpg","","solution","image-keyboard-response","1391","2323183","0.0-2.0-3.231","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1147tt.jpg","","mooney2","image-keyboard-response","1392","2325202","0.0-2.0-4.231","EV","1","pretest","true","3586639","null","","",""
"325","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1393","2325528","0.0-2.0-5.231","EV","1","pretest","true","3586639","53","../img/tt/1147tt.jpg","","5"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1394","2325731","0.0-2.0-0.232","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1102tt.jpg","","mooney1","image-keyboard-response","1395","2328745","0.0-2.0-1.232","EV","1","pretest","true","3586639","null","../img/tt/1102tt.jpg","",""
"271","<p></p>","","recognized","html-keyboard-response","1396","2329018","0.0-2.0-2.232","EV","1","pretest","true","3586639","78","../img/tt/1102tt.jpg","n",""
"null","../img/gs/1102gs.jpg","","solution","image-keyboard-response","1397","2331030","0.0-2.0-3.232","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1102tt.jpg","","mooney2","image-keyboard-response","1398","2333047","0.0-2.0-4.232","EV","1","pretest","true","3586639","null","","",""
"294","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1399","2333343","0.0-2.0-5.232","EV","1","pretest","true","3586639","52","../img/tt/1102tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1400","2333557","0.0-2.0-0.233","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/026tt.jpg","","mooney1","image-keyboard-response","1401","2336574","0.0-2.0-1.233","EV","1","pretest","true","3586639","null","../img/tt/026tt.jpg","",""
"266","<p></p>","","recognized","html-keyboard-response","1402","2336842","0.0-2.0-2.233","EV","1","pretest","true","3586639","89","../img/tt/026tt.jpg","y",""
"null","../img/gs/026gs.jpg","","solution","image-keyboard-response","1403","2338855","0.0-2.0-3.233","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/026tt.jpg","","mooney2","image-keyboard-response","1404","2340872","0.0-2.0-4.233","EV","1","pretest","true","3586639","null","","",""
"981","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1405","2341855","0.0-2.0-5.233","EV","1","pretest","true","3586639","53","../img/tt/026tt.jpg","","5"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1406","2342058","0.0-2.0-0.234","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1064tt.jpg","","mooney1","image-keyboard-response","1407","2345067","0.0-2.0-1.234","EV","1","pretest","true","3586639","null","../img/tt/1064tt.jpg","",""
"670","<p></p>","","recognized","html-keyboard-response","1408","2345739","0.0-2.0-2.234","EV","1","pretest","true","3586639","89","../img/tt/1064tt.jpg","y",""
"null","../img/gs/1064gs.jpg","","solution","image-keyboard-response","1409","2347745","0.0-2.0-3.234","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1064tt.jpg","","mooney2","image-keyboard-response","1410","2349761","0.0-2.0-4.234","EV","1","pretest","true","3586639","null","","",""
"291","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1411","2350055","0.0-2.0-5.234","EV","1","pretest","true","3586639","54","../img/tt/1064tt.jpg","","6"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1412","2350260","0.0-2.0-0.235","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1073tt.jpg","","mooney1","image-keyboard-response","1413","2353278","0.0-2.0-1.235","EV","1","pretest","true","3586639","null","../img/tt/1073tt.jpg","",""
"383","<p></p>","","recognized","html-keyboard-response","1414","2353664","0.0-2.0-2.235","EV","1","pretest","true","3586639","89","../img/tt/1073tt.jpg","y",""
"null","../img/gs/1073gs.jpg","","solution","image-keyboard-response","1415","2355671","0.0-2.0-3.235","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1073tt.jpg","","mooney2","image-keyboard-response","1416","2357683","0.0-2.0-4.235","EV","1","pretest","true","3586639","null","","",""
"261","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1417","2357948","0.0-2.0-5.235","EV","1","pretest","true","3586639","51","../img/tt/1073tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1418","2358163","0.0-2.0-0.236","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/103tt.jpg","","mooney1","image-keyboard-response","1419","2361167","0.0-2.0-1.236","EV","1","pretest","true","3586639","null","../img/tt/103tt.jpg","",""
"473","<p></p>","","recognized","html-keyboard-response","1420","2361642","0.0-2.0-2.236","EV","1","pretest","true","3586639","78","../img/tt/103tt.jpg","n",""
"null","../img/gs/103gs.jpg","","solution","image-keyboard-response","1421","2363651","0.0-2.0-3.236","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/103tt.jpg","","mooney2","image-keyboard-response","1422","2365662","0.0-2.0-4.236","EV","1","pretest","true","3586639","null","","",""
"239","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1423","2365903","0.0-2.0-5.236","EV","1","pretest","true","3586639","51","../img/tt/103tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1424","2366119","0.0-2.0-0.237","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/060tt.jpg","","mooney1","image-keyboard-response","1425","2369125","0.0-2.0-1.237","EV","1","pretest","true","3586639","null","../img/tt/060tt.jpg","",""
"384","<p></p>","","recognized","html-keyboard-response","1426","2369510","0.0-2.0-2.237","EV","1","pretest","true","3586639","78","../img/tt/060tt.jpg","n",""
"null","../img/gs/060gs.jpg","","solution","image-keyboard-response","1427","2371527","0.0-2.0-3.237","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/060tt.jpg","","mooney2","image-keyboard-response","1428","2373542","0.0-2.0-4.237","EV","1","pretest","true","3586639","null","","",""
"273","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1429","2373817","0.0-2.0-5.237","EV","1","pretest","true","3586639","52","../img/tt/060tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1430","2374028","0.0-2.0-0.238","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1238tt.jpg","","mooney1","image-keyboard-response","1431","2377042","0.0-2.0-1.238","EV","1","pretest","true","3586639","null","../img/tt/1238tt.jpg","",""
"451","<p></p>","","recognized","html-keyboard-response","1432","2377494","0.0-2.0-2.238","EV","1","pretest","true","3586639","78","../img/tt/1238tt.jpg","n",""
"null","../img/gs/1238gs.jpg","","solution","image-keyboard-response","1433","2379511","0.0-2.0-3.238","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1238tt.jpg","","mooney2","image-keyboard-response","1434","2381514","0.0-2.0-4.238","EV","1","pretest","true","3586639","null","","",""
"252","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1435","2381768","0.0-2.0-5.238","EV","1","pretest","true","3586639","52","../img/tt/1238tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1436","2381970","0.0-2.0-0.239","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1226tt.jpg","","mooney1","image-keyboard-response","1437","2384980","0.0-2.0-1.239","EV","1","pretest","true","3586639","null","../img/tt/1226tt.jpg","",""
