"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"null","../img/tt/1222tt.jpg","","mooney2","image-keyboard-response","1098","2330076","0.0-2.0-4.182","PG","1","pretest","true","4518715","null","","",""
"674","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1099","2330750","0.0-2.0-5.182","PG","1","pretest","true","4518715","50","../img/tt/1222tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1100","2330952","0.0-2.0-0.183","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1016tt.jpg","","mooney1","image-keyboard-response","1101","2333958","0.0-2.0-1.183","PG","1","pretest","true","4518715","null","../img/tt/1016tt.jpg","",""
"2329","<p></p>","","recognized","html-keyboard-response","1102","2336289","0.0-2.0-2.183","PG","1","pretest","true","4518715","89","../img/tt/1016tt.jpg","y",""
"null","../img/gs/1016gs.jpg","","solution","image-keyboard-response","1103","2338309","0.0-2.0-3.183","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1016tt.jpg","","mooney2","image-keyboard-response","1104","2340315","0.0-2.0-4.183","PG","1","pretest","true","4518715","null","","",""
"2611","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1105","2342926","0.0-2.0-5.183","PG","1","pretest","true","4518715","53","../img/tt/1016tt.jpg","","5"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1106","2343129","0.0-2.0-0.184","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1064tt.jpg","","mooney1","image-keyboard-response","1107","2346142","0.0-2.0-1.184","PG","1","pretest","true","4518715","null","../img/tt/1064tt.jpg","",""
"2494","<p></p>","","recognized","html-keyboard-response","1108","2348637","0.0-2.0-2.184","PG","1","pretest","true","4518715","89","../img/tt/1064tt.jpg","y",""
"null","../img/gs/1064gs.jpg","","solution","image-keyboard-response","1109","2350640","0.0-2.0-3.184","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1064tt.jpg","","mooney2","image-keyboard-response","1110","2352642","0.0-2.0-4.184","PG","1","pretest","true","4518715","null","","",""
"594","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1111","2353236","0.0-2.0-5.184","PG","1","pretest","true","4518715","50","../img/tt/1064tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1112","2353445","0.0-2.0-0.185","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/007tt.jpg","","mooney1","image-keyboard-response","1113","2356447","0.0-2.0-1.185","PG","1","pretest","true","4518715","null","../img/tt/007tt.jpg","",""
"2119","<p></p>","","recognized","html-keyboard-response","1114","2358567","0.0-2.0-2.185","PG","1","pretest","true","4518715","78","../img/tt/007tt.jpg","n",""
"null","../img/gs/007gs.jpg","","solution","image-keyboard-response","1115","2360576","0.0-2.0-3.185","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/007tt.jpg","","mooney2","image-keyboard-response","1116","2362582","0.0-2.0-4.185","PG","1","pretest","true","4518715","null","","",""
"1234","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1117","2363816","0.0-2.0-5.185","PG","1","pretest","true","4518715","52","../img/tt/007tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1118","2364032","0.0-2.0-0.186","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1218tt.jpg","","mooney1","image-keyboard-response","1119","2367039","0.0-2.0-1.186","PG","1","pretest","true","4518715","null","../img/tt/1218tt.jpg","",""
"1599","<p></p>","","recognized","html-keyboard-response","1120","2368639","0.0-2.0-2.186","PG","1","pretest","true","4518715","89","../img/tt/1218tt.jpg","y",""
"null","../img/gs/1218gs.jpg","","solution","image-keyboard-response","1121","2370644","0.0-2.0-3.186","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1218tt.jpg","","mooney2","image-keyboard-response","1122","2372664","0.0-2.0-4.186","PG","1","pretest","true","4518715","null","","",""
"765","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1123","2373430","0.0-2.0-5.186","PG","1","pretest","true","4518715","50","../img/tt/1218tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1124","2373634","0.0-2.0-0.187","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1210tt.jpg","","mooney1","image-keyboard-response","1125","2376639","0.0-2.0-1.187","PG","1","pretest","true","4518715","null","../img/tt/1210tt.jpg","",""
"425","<p></p>","","recognized","html-keyboard-response","1126","2377064","0.0-2.0-2.187","PG","1","pretest","true","4518715","89","../img/tt/1210tt.jpg","y",""
"null","../img/gs/1210gs.jpg","","solution","image-keyboard-response","1127","2379070","0.0-2.0-3.187","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1210tt.jpg","","mooney2","image-keyboard-response","1128","2381071","0.0-2.0-4.187","PG","1","pretest","true","4518715","null","","",""
"509","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1129","2381581","0.0-2.0-5.187","PG","1","pretest","true","4518715","51","../img/tt/1210tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1130","2381783","0.0-2.0-0.188","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/081tt.jpg","","mooney1","image-keyboard-response","1131","2384794","0.0-2.0-1.188","PG","1","pretest","true","4518715","null","../img/tt/081tt.jpg","",""
"931","<p></p>","","recognized","html-keyboard-response","1132","2385725","0.0-2.0-2.188","PG","1","pretest","true","4518715","78","../img/tt/081tt.jpg","n",""
"null","../img/gs/081gs.jpg","","solution","image-keyboard-response","1133","2387736","0.0-2.0-3.188","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/081tt.jpg","","mooney2","image-keyboard-response","1134","2389746","0.0-2.0-4.188","PG","1","pretest","true","4518715","null","","",""
"17752","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1135","2407498","0.0-2.0-5.188","PG","1","pretest","true","4518715","52","../img/tt/081tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1136","2407723","0.0-2.0-0.189","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1086tt.jpg","","mooney1","image-keyboard-response","1137","2410738","0.0-2.0-1.189","PG","1","pretest","true","4518715","null","../img/tt/1086tt.jpg","",""
"1008","<p></p>","","recognized","html-keyboard-response","1138","2411747","0.0-2.0-2.189","PG","1","pretest","true","4518715","78","../img/tt/1086tt.jpg","n",""
"null","../img/gs/1086gs.jpg","","solution","image-keyboard-response","1139","2413761","0.0-2.0-3.189","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1086tt.jpg","","mooney2","image-keyboard-response","1140","2415762","0.0-2.0-4.189","PG","1","pretest","true","4518715","null","","",""
"1272","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1141","2417034","0.0-2.0-5.189","PG","1","pretest","true","4518715","54","../img/tt/1086tt.jpg","","6"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1142","2417236","0.0-2.0-0.190","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1063tt.jpg","","mooney1","image-keyboard-response","1143","2420238","0.0-2.0-1.190","PG","1","pretest","true","4518715","null","../img/tt/1063tt.jpg","",""
"1368","<p></p>","","recognized","html-keyboard-response","1144","2421606","0.0-2.0-2.190","PG","1","pretest","true","4518715","78","../img/tt/1063tt.jpg","n",""
"null","../img/gs/1063gs.jpg","","solution","image-keyboard-response","1145","2423617","0.0-2.0-3.190","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1063tt.jpg","","mooney2","image-keyboard-response","1146","2425618","0.0-2.0-4.190","PG","1","pretest","true","4518715","null","","",""
"740","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1147","2426358","0.0-2.0-5.190","PG","1","pretest","true","4518715","51","../img/tt/1063tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1148","2426574","0.0-2.0-0.191","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1058tt.jpg","","mooney1","image-keyboard-response","1149","2429582","0.0-2.0-1.191","PG","1","pretest","true","4518715","null","../img/tt/1058tt.jpg","",""
"1525","<p></p>","","recognized","html-keyboard-response","1150","2431107","0.0-2.0-2.191","PG","1","pretest","true","4518715","89","../img/tt/1058tt.jpg","y",""
"null","../img/gs/1058gs.jpg","","solution","image-keyboard-response","1151","2433121","0.0-2.0-3.191","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1058tt.jpg","","mooney2","image-keyboard-response","1152","2435126","0.0-2.0-4.191","PG","1","pretest","true","4518715","null","","",""
"1683","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1153","2436810","0.0-2.0-5.191","PG","1","pretest","true","4518715","50","../img/tt/1058tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1154","2437032","0.0-2.0-0.192","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1054tt.jpg","","mooney1","image-keyboard-response","1155","2440040","0.0-2.0-1.192","PG","1","pretest","true","4518715","null","../img/tt/1054tt.jpg","",""
"1535","<p></p>","","recognized","html-keyboard-response","1156","2441575","0.0-2.0-2.192","PG","1","pretest","true","4518715","89","../img/tt/1054tt.jpg","y",""
"null","../img/gs/1054gs.jpg","","solution","image-keyboard-response","1157","2443589","0.0-2.0-3.192","PG","1","pretest","true","4518715","null","","",""
"null","../img/tt/1054tt.jpg","","mooney2","image-keyboard-response","1158","2445594","0.0-2.0-4.192","PG","1","pretest","true","4518715","null","","",""
"1003","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1159","2446598","0.0-2.0-5.192","PG","1","pretest","true","4518715","50","../img/tt/1054tt.jpg","","2"
