"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"633","<p></p>","","recognized","html-keyboard-response","724","1554846","0.0-2.0-2.120","CL","2","pretest","true","4407107","78","../img/tt/495tt.jpg","n",""
"null","../img/gs/495gs.jpg","","solution","image-keyboard-response","725","1556850","0.0-2.0-3.120","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/495tt.jpg","","mooney2","image-keyboard-response","726","1558852","0.0-2.0-4.120","CL","2","pretest","true","4407107","null","","",""
"1105","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","727","1559958","0.0-2.0-5.120","CL","2","pretest","true","4407107","51","../img/tt/495tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","728","1560162","0.0-2.0-0.121","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/534tt.jpg","","mooney1","image-keyboard-response","729","1563164","0.0-2.0-1.121","CL","2","pretest","true","4407107","null","../img/tt/534tt.jpg","",""
"1060","<p></p>","","recognized","html-keyboard-response","730","1564224","0.0-2.0-2.121","CL","2","pretest","true","4407107","89","../img/tt/534tt.jpg","y",""
"null","../img/gs/534gs.jpg","","solution","image-keyboard-response","731","1566227","0.0-2.0-3.121","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/534tt.jpg","","mooney2","image-keyboard-response","732","1568228","0.0-2.0-4.121","CL","2","pretest","true","4407107","null","","",""
"1719","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","733","1569949","0.0-2.0-5.121","CL","2","pretest","true","4407107","50","../img/tt/534tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","734","1570151","0.0-2.0-0.122","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/472tt.jpg","","mooney1","image-keyboard-response","735","1573153","0.0-2.0-1.122","CL","2","pretest","true","4407107","null","../img/tt/472tt.jpg","",""
"1010","<p></p>","","recognized","html-keyboard-response","736","1574163","0.0-2.0-2.122","CL","2","pretest","true","4407107","78","../img/tt/472tt.jpg","n",""
"null","../img/gs/472gs.jpg","","solution","image-keyboard-response","737","1576165","0.0-2.0-3.122","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/472tt.jpg","","mooney2","image-keyboard-response","738","1578166","0.0-2.0-4.122","CL","2","pretest","true","4407107","null","","",""
"2317","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","739","1580485","0.0-2.0-5.122","CL","2","pretest","true","4407107","50","../img/tt/472tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","740","1580687","0.0-2.0-0.123","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/255tt.jpg","","mooney1","image-keyboard-response","741","1583689","0.0-2.0-1.123","CL","2","pretest","true","4407107","null","../img/tt/255tt.jpg","",""
"361","<p></p>","","recognized","html-keyboard-response","742","1584051","0.0-2.0-2.123","CL","2","pretest","true","4407107","89","../img/tt/255tt.jpg","y",""
"null","../img/gs/255gs.jpg","","solution","image-keyboard-response","743","1586055","0.0-2.0-3.123","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/255tt.jpg","","mooney2","image-keyboard-response","744","1588061","0.0-2.0-4.123","CL","2","pretest","true","4407107","null","","",""
"1745","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","745","1589806","0.0-2.0-5.123","CL","2","pretest","true","4407107","49","../img/tt/255tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","746","1590007","0.0-2.0-0.124","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/597tt.jpg","","mooney1","image-keyboard-response","747","1593014","0.0-2.0-1.124","CL","2","pretest","true","4407107","null","../img/tt/597tt.jpg","",""
"396","<p></p>","","recognized","html-keyboard-response","748","1593410","0.0-2.0-2.124","CL","2","pretest","true","4407107","89","../img/tt/597tt.jpg","y",""
