"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"967","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","733","1390098","0.0-2.0-5.121","ck","2","pretest","true","4009713","52","../img/tt/275tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","734","1390300","0.0-2.0-0.122","ck","2","pretest","true","4009713","null","","",""
"null","../img/tt/1301tt.jpg","","mooney1","image-keyboard-response","735","1393303","0.0-2.0-1.122","ck","2","pretest","true","4009713","null","../img/tt/1301tt.jpg","",""
"362","<p></p>","","recognized","html-keyboard-response","736","1393666","0.0-2.0-2.122","ck","2","pretest","true","4009713","89","../img/tt/1301tt.jpg","y",""
"null","../img/gs/1301gs.jpg","","solution","image-keyboard-response","737","1395670","0.0-2.0-3.122","ck","2","pretest","true","4009713","null","","",""
"null","../img/tt/1301tt.jpg","","mooney2","image-keyboard-response","738","1397673","0.0-2.0-4.122","ck","2","pretest","true","4009713","null","","",""
"1199","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","739","1398872","0.0-2.0-5.122","ck","2","pretest","true","4009713","50","../img/tt/1301tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","740","1399074","0.0-2.0-0.123","ck","2","pretest","true","4009713","null","","",""
"null","../img/tt/322tt.jpg","","mooney1","image-keyboard-response","741","1402078","0.0-2.0-1.123","ck","2","pretest","true","4009713","null","../img/tt/322tt.jpg","",""
"411","<p></p>","","recognized","html-keyboard-response","742","1402490","0.0-2.0-2.123","ck","2","pretest","true","4009713","89","../img/tt/322tt.jpg","y",""
"null","../img/gs/322gs.jpg","","solution","image-keyboard-response","743","1404493","0.0-2.0-3.123","ck","2","pretest","true","4009713","null","","",""
"null","../img/tt/322tt.jpg","","mooney2","image-keyboard-response","744","1406496","0.0-2.0-4.123","ck","2","pretest","true","4009713","null","","",""
"381","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","745","1406878","0.0-2.0-5.123","ck","2","pretest","true","4009713","49","../img/tt/322tt.jpg","","1"
