"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","836","1564746","0.0-2.0-0.139","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/1258tt.jpg","","mooney1","image-keyboard-response","837","1567749","0.0-2.0-1.139","J.W.","1","pretest","true","3859074","null","../img/tt/1258tt.jpg","",""
"2346","<p></p>","","recognized","html-keyboard-response","838","1570096","0.0-2.0-2.139","J.W.","1","pretest","true","3859074","89","../img/tt/1258tt.jpg","y",""
"null","../img/gs/1258gs.jpg","","solution","image-keyboard-response","839","1572098","0.0-2.0-3.139","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/1258tt.jpg","","mooney2","image-keyboard-response","840","1574100","0.0-2.0-4.139","J.W.","1","pretest","true","3859074","null","","",""
"428","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","841","1574532","0.0-2.0-5.139","J.W.","1","pretest","true","3859074","51","../img/tt/1258tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","842","1574735","0.0-2.0-0.140","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/013tt.jpg","","mooney1","image-keyboard-response","843","1577738","0.0-2.0-1.140","J.W.","1","pretest","true","3859074","null","../img/tt/013tt.jpg","",""
"584","<p></p>","","recognized","html-keyboard-response","844","1578324","0.0-2.0-2.140","J.W.","1","pretest","true","3859074","78","../img/tt/013tt.jpg","n",""
"null","../img/gs/013gs.jpg","","solution","image-keyboard-response","845","1580327","0.0-2.0-3.140","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/013tt.jpg","","mooney2","image-keyboard-response","846","1582329","0.0-2.0-4.140","J.W.","1","pretest","true","3859074","null","","",""
"3872","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","847","1586202","0.0-2.0-5.140","J.W.","1","pretest","true","3859074","52","../img/tt/013tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","848","1586404","0.0-2.0-0.141","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/1174tt.jpg","","mooney1","image-keyboard-response","849","1589408","0.0-2.0-1.141","J.W.","1","pretest","true","3859074","null","../img/tt/1174tt.jpg","",""
"1108","<p></p>","","recognized","html-keyboard-response","850","1590518","0.0-2.0-2.141","J.W.","1","pretest","true","3859074","78","../img/tt/1174tt.jpg","n",""
"null","../img/gs/1174gs.jpg","","solution","image-keyboard-response","851","1592522","0.0-2.0-3.141","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/1174tt.jpg","","mooney2","image-keyboard-response","852","1594524","0.0-2.0-4.141","J.W.","1","pretest","true","3859074","null","","",""
"1310","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","853","1595835","0.0-2.0-5.141","J.W.","1","pretest","true","3859074","51","../img/tt/1174tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","854","1596037","0.0-2.0-0.142","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/1277tt.jpg","","mooney1","image-keyboard-response","855","1599039","0.0-2.0-1.142","J.W.","1","pretest","true","3859074","null","../img/tt/1277tt.jpg","",""
"1299","<p></p>","","recognized","html-keyboard-response","856","1600339","0.0-2.0-2.142","J.W.","1","pretest","true","3859074","78","../img/tt/1277tt.jpg","n",""
"null","../img/gs/1277gs.jpg","","solution","image-keyboard-response","857","1602343","0.0-2.0-3.142","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/1277tt.jpg","","mooney2","image-keyboard-response","858","1604346","0.0-2.0-4.142","J.W.","1","pretest","true","3859074","null","","",""
"1561","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","859","1605908","0.0-2.0-5.142","J.W.","1","pretest","true","3859074","52","../img/tt/1277tt.jpg","","4"
