"","expversion","xPos","participant","age","congruence","yPos","cond","corrAns","stimFile","condition","location","n","acc_mean","acc_raw","acc_std","resp_raw","rt_mean","rt_raw","rt_std","order"
"1","Navon Task CO2015",-50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_C_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.239887416363,0.239887416362762,0,40
"2","Navon Task CO2015",50,15457,18,"congruent",50,"selAttGlob","['f']","Global_C_local_D.png","Cc","up_right",1,0,0,0,"'j'",0.452856242657,0.452856242656708,0,90
"3","Navon Task CO2015",50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_C_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.616508364677,0.616508364677429,0,98
"4","Navon Task CO2015",-50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_C_local_H.png","Cc","left_right",1,0,0,0,"'j'",0.338963836432,0.338963836431503,0,20
"5","Navon Task CO2015",50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_C_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.506696045399,0.506696045398712,0,14
"6","Navon Task CO2015",-50,15457,18,"congruent",50,"selAttGlob","['f']","Global_D_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.327366471291,0.327366471290588,0,89
"7","Navon Task CO2015",50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_D_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.354106277227,0.354106277227402,0,60
"8","Navon Task CO2015",50,15457,18,"congruent",50,"selAttGlob","['f']","Global_D_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.43707716465,0.437077164649963,0,37
"9","Navon Task CO2015",-50,15457,18,"congruent",50,"selAttGlob","['f']","Global_D_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.4172924757,0.417292475700378,0,56
"10","Navon Task CO2015",50,15457,18,"congruent",50,"selAttGlob","['f']","Global_D_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.449623018503,0.449623018503189,0,34
"11","Navon Task CO2015",-50,15457,18,"congruent",50,"selAttGlob","['f']","Global_F_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.759822547436,0.75982254743576,0,24
"12","Navon Task CO2015",50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_F_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.531907260418,0.531907260417938,0,12
"13","Navon Task CO2015",50,15457,18,"congruent",50,"selAttGlob","['f']","Global_F_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.397874265909,0.397874265909195,0,39
"14","Navon Task CO2015",-50,15457,18,"congruent",50,"selAttGlob","['f']","Global_F_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.532738924026,0.532738924026489,0,74
"15","Navon Task CO2015",50,15457,18,"congruent",50,"selAttGlob","['f']","Global_F_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.278706938028,0.278706938028336,0,43
"16","Navon Task CO2015",-50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_H_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.419727474451,0.419727474451065,0,36
"17","Navon Task CO2015",50,15457,18,"congruent",50,"selAttGlob","['f']","Global_H_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.302172124386,0.302172124385834,0,61
"18","Navon Task CO2015",50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_H_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.374061793089,0.374061793088913,0,44
"19","Navon Task CO2015",-50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_H_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.445965379477,0.445965379476547,0,85
"20","Navon Task CO2015",50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_H_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.485975414515,0.485975414514542,0,86
"21","Navon Task CO2015",-50,15457,18,"congruent",50,"selAttGlob","['f']","Global_T_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.435460537672,0.435460537672043,0,31
"22","Navon Task CO2015",50,15457,18,"congruent",-50,"selAttGlob","['f']","Global_T_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.474360853434,0.474360853433609,0,7
"23","Navon Task CO2015",50,15457,18,"congruent",50,"selAttGlob","['f']","Global_T_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.403704077005,0.403704077005386,0,95
"24","Navon Task CO2015",-50,15457,18,"congruent",50,"selAttGlob","['f']","Global_T_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.37023627758,0.370236277580261,0,47
"25","Navon Task CO2015",50,15457,18,"congruent",50,"selAttGlob","['f']","Global_T_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.820210278034,0.82021027803421,0,32
"26","Navon Task CO2015",50,15457,18,"congruent",50,"selAttGlob","['j']","Global_A_local_A.png","Vv","up_right",1,1,1,0,"'j'",0.359596043825,0.35959604382515,0,4
"27","Navon Task CO2015",-50,15457,18,"congruent",-50,"selAttGlob","['j']","Global_A_local_E.png","Vv","left_right",1,1,1,0,"'j'",0.443613141775,0.443613141775131,0,5
"28","Navon Task CO2015",50,15457,18,"congruent",-50,"selAttGlob","['j']","Global_A_local_I.png","Vv","down_right",1,1,1,0,"'j'",0.365927428007,0.365927428007126,0,72
"29","Navon Task CO2015",-50,15457,18,"congruent",-50,"selAttGlob","['j']","Global_A_local_O.png","Vv","left_right",1,1,1,0,"'j'",0.397554129362,0.397554129362106,0,18
