"","expversion","xPos","participant","age","congruence","yPos","cond","corrAns","stimFile","condition","location","n","acc_mean","acc_raw","acc_std","resp_raw","rt_mean","rt_raw","rt_std","order"
"1","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_C_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.602201700211,0.602201700210571,0,52
"2","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['f']","Global_C_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.555831134319,0.555831134319305,0,62
"3","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_C_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.778430223465,0.778430223464966,0,2
"4","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_C_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.52919626236,0.529196262359619,0,43
"5","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_C_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.615307569504,0.615307569503784,0,26
"6","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['f']","Global_D_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.617032766342,0.617032766342163,0,1
"7","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_D_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.591184198856,0.591184198856354,0,23
"8","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['f']","Global_D_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.531293928623,0.531293928623199,0,65
"9","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['f']","Global_D_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.549142956734,0.549142956733704,0,42
"10","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['f']","Global_D_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.678781628609,0.678781628608704,0,72
"11","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['f']","Global_F_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.558087646961,0.558087646961212,0,69
"12","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_F_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.632336914539,0.632336914539337,0,58
"13","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['f']","Global_F_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.472242861986,0.47224286198616,0,94
"14","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['f']","Global_F_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.509909749031,0.509909749031067,0,44
"15","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['f']","Global_F_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.662994801998,0.662994801998138,0,18
"16","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_H_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.508724868298,0.508724868297577,0,88
"17","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['f']","Global_H_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.53625524044,0.536255240440369,0,35
"18","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_H_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.657441198826,0.657441198825836,0,31
"19","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_H_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.518988549709,0.51898854970932,0,56
"20","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_H_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.450188964605,0.450188964605331,0,91
"21","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['f']","Global_T_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.771674156189,0.771674156188965,0,38
"22","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['f']","Global_T_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.702134668827,0.702134668827057,0,13
"23","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['f']","Global_T_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.773806869984,0.773806869983673,0,4
"24","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['f']","Global_T_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.510357379913,0.51035737991333,0,97
"25","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['f']","Global_T_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.450109511614,0.450109511613846,0,90
"26","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['j']","Global_A_local_A.png","Vv","up_right",1,1,1,0,"'j'",0.611115634441,0.611115634441376,0,41
"27","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_A_local_E.png","Vv","left_right",1,1,1,0,"'j'",0.653362512589,0.653362512588501,0,29
"28","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_A_local_I.png","Vv","down_right",1,1,1,0,"'j'",0.555939674377,0.555939674377441,0,45
"29","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_A_local_O.png","Vv","left_right",1,1,1,0,"'j'",0.576510071754,0.576510071754456,0,61
"30","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['j']","Global_A_local_U.png","Vv","up_left",1,1,1,0,"'j'",0.628962695599,0.628962695598602,0,36
"31","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_E_local_A.png","Vv","down_right",1,1,1,0,"'j'",0.556218147278,0.556218147277832,0,53
"32","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['j']","Global_E_local_E.png","Vv","up_left",1,1,1,0,"'j'",0.499885797501,0.49988579750061,0,82
"33","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['j']","Global_E_local_I.png","Vv","up_right",1,1,1,0,"'j'",0.945849359035,0.945849359035492,0,24
"34","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['j']","Global_E_local_O.png","Vv","up_left",1,1,1,0,"'j'",0.554024815559,0.554024815559387,0,68
"35","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_E_local_U.png","Vv","left_right",1,1,1,0,"'j'",0.529738247395,0.529738247394562,0,96
"36","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['j']","Global_I_local_A.png","Vv","up_right",1,1,1,0,"'j'",0.426472485065,0.42647248506546,0,81
"37","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_I_local_E.png","Vv","left_right",1,1,1,0,"'j'",0.650140881538,0.650140881538391,0,70
"38","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_I_local_I.png","Vv","down_right",1,1,1,0,"'j'",0.601176738739,0.601176738739014,0,5
"39","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_I_local_O.png","Vv","left_right",1,1,1,0,"'j'",0.663543403149,0.663543403148651,0,15
"40","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['j']","Global_I_local_U.png","Vv","up_left",1,1,1,0,"'j'",0.645718872547,0.64571887254715,0,3
"41","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_O_local_A.png","Vv","down_right",1,1,1,0,"'j'",0.549433290958,0.549433290958405,0,30
"42","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['j']","Global_O_local_E.png","Vv","up_left",1,1,1,0,"'j'",0.565164148808,0.565164148807526,0,60
"43","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['j']","Global_O_local_I.png","Vv","up_right",1,1,1,0,"'j'",0.513841509819,0.513841509819031,0,22
"44","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['j']","Global_O_local_O.png","Vv","up_left",1,1,1,0,"'j'",0.536440312862,0.536440312862396,0,79
"45","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_O_local_U.png","Vv","left_right",1,1,1,0,"'j'",0.552258610725,0.552258610725403,0,54
"46","Navon Task CO2015",50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_U_local_A.png","Vv","down_right",1,1,1,0,"'j'",0.759394288063,0.759394288063049,0,11
"47","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['j']","Global_U_local_E.png","Vv","up_left",1,1,1,0,"'j'",0.534278452396,0.534278452396393,0,73
"48","Navon Task CO2015",50,15469,25,"congruent",50,"selAttLoc","['j']","Global_U_local_I.png","Vv","up_right",1,1,1,0,"'j'",0.548280179501,0.54828017950058,0,57
"49","Navon Task CO2015",-50,15469,25,"congruent",50,"selAttLoc","['j']","Global_U_local_O.png","Vv","up_left",1,1,1,0,"'j'",0.583074092865,0.58307409286499,0,39
"50","Navon Task CO2015",-50,15469,25,"congruent",-50,"selAttLoc","['j']","Global_U_local_U.png","Vv","left_right",1,1,1,0,"'j'",0.471094399691,0.471094399690628,0,99
"51","Navon Task CO2015",-50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_A_local_C.png","Vc","up_left",1,1,1,0,"'f'",0.605007469654,0.605007469654083,0,76
"52","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_A_local_D.png","Vc","down_right",1,1,1,0,"'f'",0.610883235931,0.610883235931396,0,33
"53","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_A_local_F.png","Vc","up_right",1,1,1,0,"'f'",0.659228980541,0.659228980541229,0,7
"54","Navon Task CO2015",-50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_A_local_H.png","Vc","up_left",1,1,1,0,"'f'",0.612690508366,0.612690508365631,0,86
"55","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_A_local_T.png","Vc","up_right",1,1,1,0,"'f'",0.494024604559,0.494024604558945,0,87
"56","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_E_local_C.png","Vc","left_right",1,1,1,0,"'f'",0.510962545872,0.510962545871735,0,75
"57","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_E_local_D.png","Vc","up_right",1,1,1,0,"'f'",0.707317769527,0.707317769527435,0,8
"58","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_E_local_F.png","Vc","down_right",1,1,1,0,"'f'",0.529349207878,0.529349207878113,0,48
"59","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_E_local_H.png","Vc","left_right",1,1,1,0,"'f'",0.5228921175,0.522892117500305,0,93
"60","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_E_local_T.png","Vc","down_right",1,1,1,0,"'f'",0.688299119473,0.688299119472504,0,17
"61","Navon Task CO2015",-50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_I_local_C.png","Vc","up_left",1,1,1,0,"'f'",0.560632526875,0.560632526874542,0,85
"62","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_I_local_D.png","Vc","down_right",1,1,1,0,"'f'",0.575866520405,0.575866520404816,0,63
"63","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_I_local_F.png","Vc","up_right",1,1,1,0,"'f'",1.21488928795,1.21488928794861,0,16
"64","Navon Task CO2015",-50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_I_local_H.png","Vc","up_left",1,1,1,0,"'f'",0.701650619507,0.701650619506836,0,37
"65","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_I_local_T.png","Vc","up_right",1,1,1,0,"'f'",0.474766224623,0.474766224622726,0,89
"66","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_O_local_C.png","Vc","left_right",1,1,1,0,"'f'",0.606084764004,0.606084764003754,0,49
"67","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_O_local_D.png","Vc","up_right",1,1,1,0,"'f'",0.847002327442,0.847002327442169,0,77
"68","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_O_local_F.png","Vc","down_right",1,1,1,0,"'f'",0.777312219143,0.777312219142914,0,9
"69","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_O_local_H.png","Vc","left_right",1,1,1,0,"'f'",0.634191870689,0.634191870689392,0,92
"70","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_O_local_T.png","Vc","down_right",1,1,1,0,"'f'",0.578387200832,0.578387200832367,0,20
"71","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_U_local_C.png","Vc","left_right",1,1,1,0,"'f'",0.788674354553,0.788674354553223,0,10
"72","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['f']","Global_U_local_D.png","Vc","up_right",1,1,1,0,"'f'",0.62309718132,0.62309718132019,0,78
"73","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_U_local_F.png","Vc","down_right",1,1,1,0,"'f'",0.758328258991,0.758328258991241,0,19
"74","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_U_local_H.png","Vc","left_right",1,1,1,0,"'f'",0.764170587063,0.764170587062836,0,14
"75","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['f']","Global_U_local_T.png","Vc","down_right",1,0,0,0,"'j'",0.561095356941,0.561095356941223,0,59
"76","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['j']","Global_C_local_A.png","Cv","down_right",1,1,1,0,"'j'",0.51711243391,0.51711243391037,0,80
"77","Navon Task CO2015",-50,15469,25,"incongruent",50,"selAttLoc","['j']","Global_C_local_E.png","Cv","up_left",1,1,1,0,"'j'",0.65118175745,0.651181757450104,0,6
"78","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['j']","Global_C_local_I.png","Cv","up_right",1,1,1,0,"'j'",0.524719595909,0.524719595909119,0,67
"79","Navon Task CO2015",-50,15469,25,"incongruent",50,"selAttLoc","['j']","Global_C_local_O.png","Cv","up_left",1,1,1,0,"'j'",0.53270226717,0.532702267169952,0,47
"80","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['j']","Global_C_local_U.png","Cv","left_right",1,1,1,0,"'j'",0.859244763851,0.859244763851166,0,64
"81","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['j']","Global_D_local_A.png","Cv","up_right",1,1,1,0,"'j'",0.512077569962,0.512077569961548,0,50
"82","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['j']","Global_D_local_E.png","Cv","left_right",1,1,1,0,"'j'",0.788244307041,0.788244307041168,0,55
"83","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['j']","Global_D_local_I.png","Cv","down_right",1,1,1,0,"'j'",0.549782216549,0.54978221654892,0,21
"84","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['j']","Global_D_local_O.png","Cv","left_right",1,1,1,0,"'j'",0.579433381557,0.579433381557465,0,12
"85","Navon Task CO2015",-50,15469,25,"incongruent",50,"selAttLoc","['j']","Global_D_local_U.png","Cv","up_left",1,1,1,0,"'j'",0.83524954319,0.835249543190002,0,0
"86","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['j']","Global_F_local_A.png","Cv","up_right",1,1,1,0,"'j'",0.536003291607,0.536003291606903,0,46
"87","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['j']","Global_F_local_E.png","Cv","left_right",1,1,1,0,"'j'",0.513922929764,0.513922929763794,0,83
"88","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['j']","Global_F_local_I.png","Cv","down_right",1,1,1,0,"'j'",0.7439904809,0.743990480899811,0,66
"89","Navon Task CO2015",-50,15469,25,"incongruent",-50,"selAttLoc","['j']","Global_F_local_O.png","Cv","left_right",1,1,1,0,"'j'",0.588342666626,0.588342666625977,0,98
"90","Navon Task CO2015",-50,15469,25,"incongruent",50,"selAttLoc","['j']","Global_F_local_U.png","Cv","up_left",1,1,1,0,"'j'",0.554926335812,0.554926335811615,0,74
"91","Navon Task CO2015",50,15469,25,"incongruent",-50,"selAttLoc","['j']","Global_H_local_A.png","Cv","down_right",1,1,1,0,"'j'",0.423282653093,0.423282653093338,0,84
"92","Navon Task CO2015",-50,15469,25,"incongruent",50,"selAttLoc","['j']","Global_H_local_E.png","Cv","up_left",1,1,1,0,"'j'",0.616643428802,0.61664342880249,0,27
"93","Navon Task CO2015",50,15469,25,"incongruent",50,"selAttLoc","['j']","Global_H_local_I.png","Cv","up_right",1,1,1,0,"'j'",0.407665997744,0.407665997743607,0,95
"94","Navon Task CO2015",-50,15469,25,"incongruent",50,"selAttLoc","['j']","Global_H_local_O.png","Cv","up_left",1,1,1,0,"'j'",0.613921761513,0.613921761512756,0,25
