"","expversion","xPos","participant","age","congruence","yPos","cond","corrAns","stimFile","condition","location","n","acc_mean","acc_raw","acc_std","resp_raw","rt_mean","rt_raw","rt_std","order"
"1","Navon Task CO2015",-50,15364,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_C.png","Cc","left_right",1,0,0,0,"'j'",0.510368525982,0.510368525981903,0,29
"2","Navon Task CO2015",50,15364,18,"congruent",50,"selAttLoc","['f']","Global_C_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.63395690918,0.633956909179688,0,41
"3","Navon Task CO2015",50,15364,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.682082653046,0.682082653045654,0,75
"4","Navon Task CO2015",-50,15364,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.671139836311,0.67113983631134,0,33
"5","Navon Task CO2015",50,15364,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.442053645849,0.442053645849228,0,16
"6","Navon Task CO2015",-50,15364,18,"congruent",50,"selAttLoc","['f']","Global_D_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.81392455101,0.813924551010132,0,39
"7","Navon Task CO2015",50,15364,18,"congruent",-50,"selAttLoc","['f']","Global_D_local_D.png","Cc","down_right",1,0,0,0,"'j'",0.600850462914,0.600850462913513,0,50
"8","Navon Task CO2015",50,15364,18,"congruent",50,"selAttLoc","['f']","Global_D_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.566490530968,0.566490530967712,0,62
"9","Navon Task CO2015",-50,15364,18,"congruent",50,"selAttLoc","['f']","Global_D_local_H.png","Cc","up_left",1,1,1,0,"'f'",1.15002310276,1.15002310276031,0,14
"10","Navon Task CO2015",50,15364,18,"congruent",50,"selAttLoc","['f']","Global_D_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.568839788437,0.56883978843689,0,48
"11","Navon Task CO2015",-50,15364,18,"congruent",50,"selAttLoc","['f']","Global_F_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.493866145611,0.493866145610809,0,65
"12","Navon Task CO2015",50,15364,18,"congruent",-50,"selAttLoc","['f']","Global_F_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.443653702736,0.443653702735901,0,86
"13","Navon Task CO2015",50,15364,18,"congruent",50,"selAttLoc","['f']","Global_F_local_F.png","Cc","up_right",1,0,0,0,"'j'",0.535790264606,0.535790264606476,0,91
"14","Navon Task CO2015",-50,15364,18,"congruent",50,"selAttLoc","['f']","Global_F_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.70655220747,0.70655220746994,0,97
"15","Navon Task CO2015",50,15364,18,"congruent",50,"selAttLoc","['f']","Global_F_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.555850684643,0.555850684642792,0,36
"16","Navon Task CO2015",-50,15364,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.637308299541,0.637308299541473,0,13
"17","Navon Task CO2015",50,15364,18,"congruent",50,"selAttLoc","['f']","Global_H_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.615769028664,0.615769028663635,0,60
"18","Navon Task CO2015",50,15364,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_F.png","Cc","down_right",1,1,1,0,"'f'",1.08287990093,1.08287990093231,0,80
"19","Navon Task CO2015",-50,15364,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.612202763557,0.612202763557434,0,23
"20","Navon Task CO2015",50,15364,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.469292610884,0.469292610883713,0,69
"21","Navon Task CO2015",-50,15364,18,"congruent",50,"selAttLoc","['f']","Global_T_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.544390439987,0.544390439987183,0,58
