"","expversion","xPos","participant","age","congruence","yPos","cond","corrAns","stimFile","condition","location","n","acc_mean","acc_raw","acc_std","resp_raw","rt_mean","rt_raw","rt_std","order"
"1","Navon Task CO2015",-50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_C_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.543349206448,0.543349206447601,0,70
"2","Navon Task CO2015",50,15343,41,"congruent",50,"selAttGlob","['f']","Global_C_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.437842458487,0.437842458486557,0,68
"3","Navon Task CO2015",50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_C_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.482733309269,0.482733309268951,0,12
"4","Navon Task CO2015",-50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_C_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.618845999241,0.618845999240875,0,65
"5","Navon Task CO2015",50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_C_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.467682629824,0.467682629823685,0,74
"6","Navon Task CO2015",-50,15343,41,"congruent",50,"selAttGlob","['f']","Global_D_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.509114146233,0.509114146232605,0,96
"7","Navon Task CO2015",50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_D_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.501860797405,0.501860797405243,0,61
"8","Navon Task CO2015",50,15343,41,"congruent",50,"selAttGlob","['f']","Global_D_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.43301153183,0.433011531829834,0,44
"9","Navon Task CO2015",-50,15343,41,"congruent",50,"selAttGlob","['f']","Global_D_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.50987392664,0.509873926639557,0,24
"10","Navon Task CO2015",50,15343,41,"congruent",50,"selAttGlob","['f']","Global_D_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.450543224812,0.450543224811554,0,83
"11","Navon Task CO2015",-50,15343,41,"congruent",50,"selAttGlob","['f']","Global_F_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.423647582531,0.423647582530975,0,14
"12","Navon Task CO2015",50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_F_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.54574149847,0.545741498470306,0,45
"13","Navon Task CO2015",50,15343,41,"congruent",50,"selAttGlob","['f']","Global_F_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.54179251194,0.541792511940002,0,16
"14","Navon Task CO2015",-50,15343,41,"congruent",50,"selAttGlob","['f']","Global_F_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.408975660801,0.408975660800934,0,51
"15","Navon Task CO2015",50,15343,41,"congruent",50,"selAttGlob","['f']","Global_F_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.468053758144,0.468053758144379,0,71
"16","Navon Task CO2015",-50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_H_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.438583076,0.438583076000214,0,69
"17","Navon Task CO2015",50,15343,41,"congruent",50,"selAttGlob","['f']","Global_H_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.587341189384,0.58734118938446,0,92
"18","Navon Task CO2015",50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_H_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.564329326153,0.564329326152802,0,66
"19","Navon Task CO2015",-50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_H_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.684600055218,0.684600055217743,0,3
"20","Navon Task CO2015",50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_H_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.698725104332,0.69872510433197,0,19
"21","Navon Task CO2015",-50,15343,41,"congruent",50,"selAttGlob","['f']","Global_T_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.534076690674,0.534076690673828,0,41
"22","Navon Task CO2015",50,15343,41,"congruent",-50,"selAttGlob","['f']","Global_T_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.477947056293,0.477947056293488,0,47
"23","Navon Task CO2015",50,15343,41,"congruent",50,"selAttGlob","['f']","Global_T_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.497535705566,0.497535705566406,0,35
"24","Navon Task CO2015",-50,15343,41,"congruent",50,"selAttGlob","['f']","Global_T_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.508666872978,0.50866687297821,0,18
"25","Navon Task CO2015",50,15343,41,"congruent",50,"selAttGlob","['f']","Global_T_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.453803598881,0.453803598880768,0,60
"26","Navon Task CO2015",50,15343,41,"congruent",50,"selAttGlob","['j']","Global_A_local_A.png","Vv","up_right",1,1,1,0,"'j'",0.578136205673,0.578136205673218,0,27
"27","Navon Task CO2015",-50,15343,41,"congruent",-50,"selAttGlob","['j']","Global_A_local_E.png","Vv","left_right",1,1,1,0,"'j'",0.528345227242,0.528345227241516,0,59
"28","Navon Task CO2015",50,15343,41,"congruent",-50,"selAttGlob","['j']","Global_A_local_I.png","Vv","down_right",1,1,1,0,"'j'",0.485353052616,0.485353052616119,0,48
"29","Navon Task CO2015",-50,15343,41,"congruent",-50,"selAttGlob","['j']","Global_A_local_O.png","Vv","left_right",1,1,1,0,"'j'",0.453830420971,0.453830420970917,0,46
"30","Navon Task CO2015",-50,15343,41,"congruent",50,"selAttGlob","['j']","Global_A_local_U.png","Vv","up_left",1,1,1,0,"'j'",0.596115171909,0.596115171909332,0,86
"31","Navon Task CO2015",50,15343,41,"congruent",-50,"selAttGlob","['j']","Global_E_local_A.png","Vv","down_right",1,1,1,0,"'j'",0.576731801033,0.57673180103302,0,85
"32","Navon Task CO2015",-50,15343,41,"congruent",50,"selAttGlob","['j']","Global_E_local_E.png","Vv","up_left",1,1,1,0,"'j'",0.628066897392,0.628066897392273,0,49
"33","Navon Task CO2015",50,15343,41,"congruent",50,"selAttGlob","['j']","Global_E_local_I.png","Vv","up_right",1,1,1,0,"'j'",0.565599322319,0.565599322319031,0,50
"34","Navon Task CO2015",-50,15343,41,"congruent",50,"selAttGlob","['j']","Global_E_local_O.png","Vv","up_left",1,1,1,0,"'j'",0.663995087147,0.663995087146759,0,77
"35","Navon Task CO2015",-50,15343,41,"congruent",-50,"selAttGlob","['j']","Global_E_local_U.png","Vv","left_right",1,1,1,0,"'j'",0.574131250381,0.57413125038147,0,34
