"","expversion","xPos","participant","age","congruence","yPos","cond","corrAns","stimFile","condition","location","n","acc_mean","acc_raw","acc_std","resp_raw","rt_mean","rt_raw","rt_std","order"
"1","Navon Task CO2015",-50,15487,19,"congruent",-50,"selAttGlob","['f']","Global_C_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.506452679634,0.506452679634094,0,50
"2","Navon Task CO2015",50,15487,19,"congruent",50,"selAttGlob","['f']","Global_C_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.511533558369,0.511533558368683,0,3
"3","Navon Task CO2015",50,15487,19,"congruent",-50,"selAttGlob","['f']","Global_C_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.523503243923,0.523503243923187,0,1
"4","Navon Task CO2015",-50,15487,19,"congruent",-50,"selAttGlob","['f']","Global_C_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.548039615154,0.548039615154266,0,37
"5","Navon Task CO2015",50,15487,19,"congruent",-50,"selAttGlob","['f']","Global_C_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.672771751881,0.672771751880646,0,61
"6","Navon Task CO2015",-50,15487,19,"congruent",50,"selAttGlob","['f']","Global_D_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.585821986198,0.585821986198425,0,52
"7","Navon Task CO2015",50,15487,19,"congruent",-50,"selAttGlob","['f']","Global_D_local_D.png","Cc","down_right",1,0,0,0,"'j'",0.557082056999,0.557082056999207,0,9
"8","Navon Task CO2015",50,15487,19,"congruent",50,"selAttGlob","['f']","Global_D_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.595048189163,0.595048189163208,0,48
"9","Navon Task CO2015",-50,15487,19,"congruent",50,"selAttGlob","['f']","Global_D_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.493877083063,0.493877083063126,0,93
"10","Navon Task CO2015",50,15487,19,"congruent",50,"selAttGlob","['f']","Global_D_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.562234818935,0.562234818935394,0,64
"11","Navon Task CO2015",-50,15487,19,"congruent",50,"selAttGlob","['f']","Global_F_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.825268149376,0.825268149375916,0,14
"12","Navon Task CO2015",50,15487,19,"congruent",-50,"selAttGlob","['f']","Global_F_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.617279648781,0.617279648780823,0,56
"13","Navon Task CO2015",50,15487,19,"congruent",50,"selAttGlob","['f']","Global_F_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.956738173962,0.956738173961639,0,60
"14","Navon Task CO2015",-50,15487,19,"congruent",50,"selAttGlob","['f']","Global_F_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.455442845821,0.455442845821381,0,80
"15","Navon Task CO2015",50,15487,19,"congruent",50,"selAttGlob","['f']","Global_F_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.584537148476,0.584537148475647,0,33
