"","expversion","xPos","participant","age","congruence","yPos","cond","corrAns","stimFile","condition","location","n","acc_mean","acc_raw","acc_std","resp_raw","rt_mean","rt_raw","rt_std","order"
"1","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.459235519171,0.459235519170761,0,38
"2","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['f']","Global_C_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.750243484974,0.750243484973907,0,66
"3","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.557704150677,0.557704150676727,0,75
"4","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.622431814671,0.622431814670563,0,82
"5","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.4422544837,0.442254483699799,0,15
"6","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['f']","Global_D_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.368258595467,0.368258595466614,0,11
"7","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_D_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.571356296539,0.571356296539307,0,50
"8","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['f']","Global_D_local_F.png","Cc","up_right",1,0,0,0,"'j'",0.451144933701,0.451144933700562,0,30
"9","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['f']","Global_D_local_H.png","Cc","up_left",1,0,0,0,"'j'",0.653475224972,0.653475224971771,0,58
"10","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['f']","Global_D_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.479733794928,0.479733794927597,0,81
"11","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['f']","Global_F_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.547153055668,0.547153055667877,0,31
"12","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_F_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.833867132664,0.833867132663727,0,33
"13","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['f']","Global_F_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.508869230747,0.508869230747223,0,8
"14","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['f']","Global_F_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.531508207321,0.531508207321167,0,62
"15","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['f']","Global_F_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.392857789993,0.392857789993286,0,61
"16","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.581627309322,0.581627309322357,0,17
"17","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['f']","Global_H_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.457578867674,0.457578867673874,0,67
"18","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.551318228245,0.551318228244781,0,45
"19","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.460796147585,0.460796147584915,0,90
"20","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.717798709869,0.717798709869385,0,29
"21","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['f']","Global_T_local_C.png","Cc","up_left",1,0,0,0,"'j'",0.362881094217,0.3628810942173,0,9
"22","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['f']","Global_T_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.417216956615,0.417216956615448,0,91
"23","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['f']","Global_T_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.584201693535,0.584201693534851,0,64
"24","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['f']","Global_T_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.495493203402,0.495493203401566,0,0
"25","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['f']","Global_T_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.538679122925,0.538679122924805,0,48
"26","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['j']","Global_A_local_A.png","Vv","up_right",1,1,1,0,"'j'",0.479306399822,0.479306399822235,0,99
"27","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_A_local_E.png","Vv","left_right",1,1,1,0,"'j'",0.500138401985,0.500138401985168,0,55
"28","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_A_local_I.png","Vv","down_right",1,1,1,0,"'j'",0.470587432384,0.470587432384491,0,93
"29","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_A_local_O.png","Vv","left_right",1,1,1,0,"'j'",0.551325500011,0.551325500011444,0,49
"30","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['j']","Global_A_local_U.png","Vv","up_left",1,1,1,0,"'j'",0.582977354527,0.58297735452652,0,70
"31","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_E_local_A.png","Vv","down_right",1,1,1,0,"'j'",0.40520092845,0.405200928449631,0,35
"32","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['j']","Global_E_local_E.png","Vv","up_left",1,0,0,0,"'f'",0.515057563782,0.515057563781738,0,79
"33","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['j']","Global_E_local_I.png","Vv","up_right",1,1,1,0,"'j'",0.547781407833,0.547781407833099,0,84
"34","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['j']","Global_E_local_O.png","Vv","up_left",1,1,1,0,"'j'",0.48454284668,0.484542846679688,0,37
"35","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_E_local_U.png","Vv","left_right",1,1,1,0,"'j'",0.530339896679,0.530339896678925,0,74
"36","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['j']","Global_I_local_A.png","Vv","up_right",1,1,1,0,"'j'",0.3968090415,0.396809041500092,0,59
"37","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_I_local_E.png","Vv","left_right",1,1,1,0,"'j'",0.584644973278,0.584644973278046,0,47
"38","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_I_local_I.png","Vv","down_right",1,1,1,0,"'j'",0.46688875556,0.466888755559921,0,12
"39","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_I_local_O.png","Vv","left_right",1,1,1,0,"'j'",0.533918380737,0.533918380737305,0,94
"40","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['j']","Global_I_local_U.png","Vv","up_left",1,1,1,0,"'j'",0.571602642536,0.571602642536163,0,69
"41","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_O_local_A.png","Vv","down_right",1,1,1,0,"'j'",0.471033066511,0.471033066511154,0,23
"42","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['j']","Global_O_local_E.png","Vv","up_left",1,1,1,0,"'j'",0.366142749786,0.366142749786377,0,1
"43","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['j']","Global_O_local_I.png","Vv","up_right",1,1,1,0,"'j'",0.70729726553,0.707297265529633,0,46
"44","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['j']","Global_O_local_O.png","Vv","up_left",1,1,1,0,"'j'",0.463936984539,0.463936984539032,0,44
"45","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_O_local_U.png","Vv","left_right",1,1,1,0,"'j'",0.461275547743,0.461275547742844,0,42
"46","Navon Task CO2015",50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_U_local_A.png","Vv","down_right",1,1,1,0,"'j'",0.472780734301,0.472780734300613,0,2
"47","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['j']","Global_U_local_E.png","Vv","up_left",1,1,1,0,"'j'",0.562477767467,0.562477767467499,0,86
"48","Navon Task CO2015",50,16738,18,"congruent",50,"selAttLoc","['j']","Global_U_local_I.png","Vv","up_right",1,1,1,0,"'j'",0.453651100397,0.45365110039711,0,19
"49","Navon Task CO2015",-50,16738,18,"congruent",50,"selAttLoc","['j']","Global_U_local_O.png","Vv","up_left",1,1,1,0,"'j'",0.543362021446,0.543362021446228,0,27
"50","Navon Task CO2015",-50,16738,18,"congruent",-50,"selAttLoc","['j']","Global_U_local_U.png","Vv","left_right",1,1,1,0,"'j'",0.601437926292,0.601437926292419,0,56
"51","Navon Task CO2015",-50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_A_local_C.png","Vc","up_left",1,1,1,0,"'f'",0.573284447193,0.573284447193146,0,43
"52","Navon Task CO2015",50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_A_local_D.png","Vc","down_right",1,1,1,0,"'f'",0.602753579617,0.602753579616547,0,54
"53","Navon Task CO2015",50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_A_local_F.png","Vc","up_right",1,1,1,0,"'f'",0.542499959469,0.542499959468842,0,85
"54","Navon Task CO2015",-50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_A_local_H.png","Vc","up_left",1,1,1,0,"'f'",0.517360448837,0.51736044883728,0,51
"55","Navon Task CO2015",50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_A_local_T.png","Vc","up_right",1,1,1,0,"'f'",0.464394181967,0.464394181966782,0,80
"56","Navon Task CO2015",-50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_E_local_C.png","Vc","left_right",1,1,1,0,"'f'",0.571929037571,0.571929037570953,0,40
"57","Navon Task CO2015",50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_E_local_D.png","Vc","up_right",1,1,1,0,"'f'",0.590814054012,0.590814054012299,0,60
"58","Navon Task CO2015",50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_E_local_F.png","Vc","down_right",1,1,1,0,"'f'",0.601001918316,0.601001918315887,0,73
"59","Navon Task CO2015",-50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_E_local_H.png","Vc","left_right",1,1,1,0,"'f'",0.364955872297,0.364955872297287,0,20
"60","Navon Task CO2015",50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_E_local_T.png","Vc","down_right",1,1,1,0,"'f'",0.618371665478,0.618371665477753,0,78
"61","Navon Task CO2015",-50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_I_local_C.png","Vc","up_left",1,1,1,0,"'f'",0.585577249527,0.585577249526978,0,68
"62","Navon Task CO2015",50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_I_local_D.png","Vc","down_right",1,1,1,0,"'f'",0.371435493231,0.37143549323082,0,4
"63","Navon Task CO2015",50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_I_local_F.png","Vc","up_right",1,0,0,0,"'j'",0.366458237171,0.366458237171173,0,32
"64","Navon Task CO2015",-50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_I_local_H.png","Vc","up_left",1,1,1,0,"'f'",0.43640089035,0.436400890350342,0,26
"65","Navon Task CO2015",50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_I_local_T.png","Vc","up_right",1,1,1,0,"'f'",0.343465715647,0.343465715646744,0,3
"66","Navon Task CO2015",-50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_O_local_C.png","Vc","left_right",1,1,1,0,"'f'",0.505328536034,0.50532853603363,0,98
"67","Navon Task CO2015",50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_O_local_D.png","Vc","up_right",1,1,1,0,"'f'",0.785927772522,0.785927772521973,0,39
"68","Navon Task CO2015",50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_O_local_F.png","Vc","down_right",1,1,1,0,"'f'",0.55449873209,0.554498732089996,0,34
"69","Navon Task CO2015",-50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_O_local_H.png","Vc","left_right",1,1,1,0,"'f'",0.431642502546,0.43164250254631,0,21
"70","Navon Task CO2015",50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_O_local_T.png","Vc","down_right",1,1,1,0,"'f'",0.425163209438,0.425163209438324,0,89
"71","Navon Task CO2015",-50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_U_local_C.png","Vc","left_right",1,1,1,0,"'f'",0.745027899742,0.745027899742126,0,76
"72","Navon Task CO2015",50,16738,18,"incongruent",50,"selAttLoc","['f']","Global_U_local_D.png","Vc","up_right",1,1,1,0,"'f'",0.464933812618,0.464933812618256,0,71
"73","Navon Task CO2015",50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_U_local_F.png","Vc","down_right",1,1,1,0,"'f'",0.474161624908,0.474161624908447,0,6
"74","Navon Task CO2015",-50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_U_local_H.png","Vc","left_right",1,0,0,0,"'j'",0.361543893814,0.361543893814087,0,7
"75","Navon Task CO2015",50,16738,18,"incongruent",-50,"selAttLoc","['f']","Global_U_local_T.png","Vc","down_right",1,1,1,0,"'f'",0.495668321848,0.495668321847916,0,18
"76","Navon Task CO2015",50,16738,18,"incongruent",-50,"selAttLoc","['j']","Global_C_local_A.png","Cv","down_right",1,1,1,0,"'j'",0.570918977261,0.57091897726059,0,65
"77","Navon Task CO2015",-50,16738,18,"incongruent",50,"selAttLoc","['j']","Global_C_local_E.png","Cv","up_left",1,1,1,0,"'j'",0.347002178431,0.347002178430557,0,16
"78","Navon Task CO2015",50,16738,18,"incongruent",50,"selAttLoc","['j']","Global_C_local_I.png","Cv","up_right",1,1,1,0,"'j'",0.562581419945,0.562581419944763,0,95
