"","expversion","xPos","participant","age","congruence","yPos","cond","corrAns","stimFile","condition","location","n","acc_mean","acc_raw","acc_std","resp_raw","rt_mean","rt_raw","rt_std","order"
"1","Navon Task CO2015",-50,15553,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.494952052832,0.49495205283165,0,50
"2","Navon Task CO2015",50,15553,18,"congruent",50,"selAttLoc","['f']","Global_C_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.443998873234,0.443998873233795,0,62
"3","Navon Task CO2015",50,15553,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.577137470245,0.577137470245361,0,14
"4","Navon Task CO2015",-50,15553,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.728935301304,0.728935301303864,0,10
"5","Navon Task CO2015",50,15553,18,"congruent",-50,"selAttLoc","['f']","Global_C_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.713933646679,0.713933646678925,0,19
"6","Navon Task CO2015",-50,15553,18,"congruent",50,"selAttLoc","['f']","Global_D_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.578886151314,0.578886151313782,0,27
"7","Navon Task CO2015",50,15553,18,"congruent",-50,"selAttLoc","['f']","Global_D_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.511061429977,0.511061429977417,0,96
"8","Navon Task CO2015",50,15553,18,"congruent",50,"selAttLoc","['f']","Global_D_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.527283728123,0.527283728122711,0,39
"9","Navon Task CO2015",-50,15553,18,"congruent",50,"selAttLoc","['f']","Global_D_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.543427884579,0.543427884578705,0,43
"10","Navon Task CO2015",50,15553,18,"congruent",50,"selAttLoc","['f']","Global_D_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.678013563156,0.678013563156128,0,1
"11","Navon Task CO2015",-50,15553,18,"congruent",50,"selAttLoc","['f']","Global_F_local_C.png","Cc","up_left",1,1,1,0,"'f'",0.575282454491,0.575282454490662,0,20
"12","Navon Task CO2015",50,15553,18,"congruent",-50,"selAttLoc","['f']","Global_F_local_D.png","Cc","down_right",1,1,1,0,"'f'",0.786376714706,0.786376714706421,0,54
"13","Navon Task CO2015",50,15553,18,"congruent",50,"selAttLoc","['f']","Global_F_local_F.png","Cc","up_right",1,1,1,0,"'f'",0.60514241457,0.605142414569855,0,55
"14","Navon Task CO2015",-50,15553,18,"congruent",50,"selAttLoc","['f']","Global_F_local_H.png","Cc","up_left",1,1,1,0,"'f'",0.828124582767,0.828124582767487,0,6
"15","Navon Task CO2015",50,15553,18,"congruent",50,"selAttLoc","['f']","Global_F_local_T.png","Cc","up_right",1,1,1,0,"'f'",0.474659979343,0.474659979343414,0,21
"16","Navon Task CO2015",-50,15553,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_C.png","Cc","left_right",1,1,1,0,"'f'",0.467851251364,0.467851251363754,0,16
"17","Navon Task CO2015",50,15553,18,"congruent",50,"selAttLoc","['f']","Global_H_local_D.png","Cc","up_right",1,1,1,0,"'f'",0.493060022593,0.493060022592545,0,76
"18","Navon Task CO2015",50,15553,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_F.png","Cc","down_right",1,1,1,0,"'f'",0.620687007904,0.620687007904053,0,63
"19","Navon Task CO2015",-50,15553,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_H.png","Cc","left_right",1,1,1,0,"'f'",0.43445751071,0.434457510709763,0,98
"20","Navon Task CO2015",50,15553,18,"congruent",-50,"selAttLoc","['f']","Global_H_local_T.png","Cc","down_right",1,1,1,0,"'f'",0.583808422089,0.583808422088623,0,36
