xPos;participant;gender;age;congruence;yPos;cond;corrAns;stimFile;condition;location;n;acc_mean;acc_raw;acc_std;resp_raw;rt_mean;rt_raw;rt_std;order
-50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_C_local_C.png;Cc;left_right;1;0;0;0;'j';0,723015547;0,723015547;0;67
50;12502;m;24;congruent;50;selAttGlob;['f'];Global_C_local_D.png;Cc;up_right;1;1;1;0;'f';0,585760355;0,585760355;0;2
50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_C_local_F.png;Cc;down_right;1;1;1;0;'f';0,577836573;0,577836573;0;51
-50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_C_local_H.png;Cc;left_right;1;1;1;0;'f';0,704008579;0,704008579;0;5
50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_C_local_T.png;Cc;down_right;1;1;1;0;'f';0,642384589;0,642384589;0;82
-50;12502;m;24;congruent;50;selAttGlob;['f'];Global_D_local_C.png;Cc;up_left;1;1;1;0;'f';0,551540494;0,551540494;0;81
50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_D_local_D.png;Cc;down_right;1;1;1;0;'f';0,546907902;0,546907902;0;48
50;12502;m;24;congruent;50;selAttGlob;['f'];Global_D_local_F.png;Cc;up_right;1;1;1;0;'f';0,614948332;0,614948332;0;46
-50;12502;m;24;congruent;50;selAttGlob;['f'];Global_D_local_H.png;Cc;up_left;1;1;1;0;'f';0,554015934;0,554015934;0;76
50;12502;m;24;congruent;50;selAttGlob;['f'];Global_D_local_T.png;Cc;up_right;1;1;1;0;'f';0,645860791;0,645860791;0;88
-50;12502;m;24;congruent;50;selAttGlob;['f'];Global_F_local_C.png;Cc;up_left;1;1;1;0;'f';0,722970545;0,722970545;0;16
50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_F_local_D.png;Cc;down_right;1;1;1;0;'f';0,718621612;0,718621612;0;74
50;12502;m;24;congruent;50;selAttGlob;['f'];Global_F_local_F.png;Cc;up_right;1;1;1;0;'f';0,718978167;0,718978167;0;29
-50;12502;m;24;congruent;50;selAttGlob;['f'];Global_F_local_H.png;Cc;up_left;1;1;1;0;'f';0,667562306;0,667562306;0;95
50;12502;m;24;congruent;50;selAttGlob;['f'];Global_F_local_T.png;Cc;up_right;1;1;1;0;'f';0,572440505;0,572440505;0;53
-50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_H_local_C.png;Cc;left_right;1;1;1;0;'f';0,488594532;0,488594532;0;24
50;12502;m;24;congruent;50;selAttGlob;['f'];Global_H_local_D.png;Cc;up_right;1;1;1;0;'f';2,142961502;2,142961502;0;47
50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_H_local_F.png;Cc;down_right;1;1;1;0;'f';0,596963704;0,596963704;0;28
-50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_H_local_H.png;Cc;left_right;1;1;1;0;'f';0,420406431;0,420406431;0;52
50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_H_local_T.png;Cc;down_right;1;1;1;0;'f';0,8287974;0,8287974;0;8
-50;12502;m;24;congruent;50;selAttGlob;['f'];Global_T_local_C.png;Cc;up_left;1;1;1;0;'f';0,534990728;0,534990728;0;68
50;12502;m;24;congruent;-50;selAttGlob;['f'];Global_T_local_D.png;Cc;down_right;1;1;1;0;'f';0,558462799;0,558462799;0;54
50;12502;m;24;congruent;50;selAttGlob;['f'];Global_T_local_F.png;Cc;up_right;1;1;1;0;'f';1,080203176;1,080203176;0;10
-50;12502;m;24;congruent;50;selAttGlob;['f'];Global_T_local_H.png;Cc;up_left;1;1;1;0;'f';0,670777678;0,670777678;0;11
50;12502;m;24;congruent;50;selAttGlob;['f'];Global_T_local_T.png;Cc;up_right;1;1;1;0;'f';0,585530579;0,585530579;0;94
50;12502;m;24;congruent;50;selAttGlob;['j'];Global_A_local_A.png;Vv;up_right;1;1;1;0;'j';0,467755139;0,467755139;0;19
-50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_A_local_E.png;Vv;left_right;1;1;1;0;'j';0,514144361;0,514144361;0;79
50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_A_local_I.png;Vv;down_right;1;1;1;0;'j';0,548796296;0,548796296;0;12
-50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_A_local_O.png;Vv;left_right;1;1;1;0;'j';0,570957303;0,570957303;0;33
-50;12502;m;24;congruent;50;selAttGlob;['j'];Global_A_local_U.png;Vv;up_left;1;1;1;0;'j';0,478472799;0,478472799;0;0
50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_E_local_A.png;Vv;down_right;1;1;1;0;'j';0,661438227;0,661438227;0;25
-50;12502;m;24;congruent;50;selAttGlob;['j'];Global_E_local_E.png;Vv;up_left;1;1;1;0;'j';1,17200613;1,17200613;0;73
50;12502;m;24;congruent;50;selAttGlob;['j'];Global_E_local_I.png;Vv;up_right;1;1;1;0;'j';0,596652865;0,596652865;0;58
-50;12502;m;24;congruent;50;selAttGlob;['j'];Global_E_local_O.png;Vv;up_left;1;1;1;0;'j';0,633758962;0,633758962;0;20
-50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_E_local_U.png;Vv;left_right;1;1;1;0;'j';0,67533946;0,67533946;0;42
50;12502;m;24;congruent;50;selAttGlob;['j'];Global_I_local_A.png;Vv;up_right;1;1;1;0;'j';0,693184674;0,693184674;0;34
-50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_I_local_E.png;Vv;left_right;1;1;1;0;'j';0,493035167;0,493035167;0;1
50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_I_local_I.png;Vv;down_right;1;1;1;0;'j';0,589419663;0,589419663;0;91
-50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_I_local_O.png;Vv;left_right;1;1;1;0;'j';1,137685895;1,137685895;0;85
-50;12502;m;24;congruent;50;selAttGlob;['j'];Global_I_local_U.png;Vv;up_left;1;1;1;0;'j';0,615541935;0,615541935;0;13
50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_O_local_A.png;Vv;down_right;1;1;1;0;'j';0,660957813;0,660957813;0;32
-50;12502;m;24;congruent;50;selAttGlob;['j'];Global_O_local_E.png;Vv;up_left;1;1;1;0;'j';0,529520869;0,529520869;0;97
50;12502;m;24;congruent;50;selAttGlob;['j'];Global_O_local_I.png;Vv;up_right;1;1;1;0;'j';0,666569769;0,666569769;0;23
-50;12502;m;24;congruent;50;selAttGlob;['j'];Global_O_local_O.png;Vv;up_left;1;1;1;0;'j';0,500476599;0,500476599;0;50
-50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_O_local_U.png;Vv;left_right;1;1;1;0;'j';0,498783827;0,498783827;0;45
50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_U_local_A.png;Vv;down_right;1;1;1;0;'j';0,541798174;0,541798174;0;84
-50;12502;m;24;congruent;50;selAttGlob;['j'];Global_U_local_E.png;Vv;up_left;1;1;1;0;'j';0,527568221;0,527568221;0;15
50;12502;m;24;congruent;50;selAttGlob;['j'];Global_U_local_I.png;Vv;up_right;1;1;1;0;'j';0,467053592;0,467053592;0;65
-50;12502;m;24;congruent;50;selAttGlob;['j'];Global_U_local_O.png;Vv;up_left;1;1;1;0;'j';0,593393147;0,593393147;0;40
-50;12502;m;24;congruent;-50;selAttGlob;['j'];Global_U_local_U.png;Vv;left_right;1;1;1;0;'j';0,492691845;0,492691845;0;93
50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_C_local_A.png;Cv;down_right;1;1;1;0;'f';0,553710341;0,553710341;0;31
-50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_C_local_E.png;Cv;up_left;1;1;1;0;'f';0,71259284;0,71259284;0;57
50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_C_local_I.png;Cv;up_right;1;1;1;0;'f';0,546595037;0,546595037;0;3
-50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_C_local_O.png;Cv;up_left;1;1;1;0;'f';0,643539369;0,643539369;0;30
-50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_C_local_U.png;Cv;left_right;1;1;1;0;'f';0,626629412;0,626629412;0;75
50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_D_local_A.png;Cv;up_right;1;1;1;0;'f';0,860698819;0,860698819;0;26
-50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_D_local_E.png;Cv;left_right;1;1;1;0;'f';1,182164192;1,182164192;0;80
50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_D_local_I.png;Cv;down_right;1;1;1;0;'f';1,180692673;1,180692673;0;77
-50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_D_local_O.png;Cv;left_right;1;1;1;0;'f';0,490377665;0,490377665;0;69
-50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_D_local_U.png;Cv;up_left;1;1;1;0;'f';0,493968427;0,493968427;0;72
50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_F_local_A.png;Cv;up_right;1;1;1;0;'f';1,140895247;1,140895247;0;98
-50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_F_local_E.png;Cv;left_right;1;1;1;0;'f';0,926994205;0,926994205;0;17
50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_F_local_I.png;Cv;down_right;1;1;1;0;'f';0,586372495;0,586372495;0;18
-50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_F_local_O.png;Cv;left_right;1;1;1;0;'f';0,518125176;0,518125176;0;78
-50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_F_local_U.png;Cv;up_left;1;1;1;0;'f';0,559475541;0,559475541;0;62
50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_H_local_A.png;Cv;down_right;1;1;1;0;'f';1,181058764;1,181058764;0;86
-50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_H_local_E.png;Cv;up_left;1;1;1;0;'f';0,534011126;0,534011126;0;39
50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_H_local_I.png;Cv;up_right;1;0;0;0;'j';0,653416455;0,653416455;0;7
-50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_H_local_O.png;Cv;up_left;1;1;1;0;'f';0,524026096;0,524026096;0;89
-50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_H_local_U.png;Cv;left_right;1;1;1;0;'f';0,634134054;0,634134054;0;96
50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_T_local_A.png;Cv;up_right;1;0;0;0;'j';0,397950411;0,397950411;0;4
-50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_T_local_E.png;Cv;left_right;1;1;1;0;'f';0,459088445;0,459088445;0;36
50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_T_local_I.png;Cv;down_right;1;0;0;0;'j';0,501328051;0,501328051;0;22
-50;12502;m;24;incongruent;-50;selAttGlob;['f'];Global_T_local_O.png;Cv;left_right;1;1;1;0;'f';0,613254547;0,613254547;0;6
-50;12502;m;24;incongruent;50;selAttGlob;['f'];Global_T_local_U.png;Cv;up_left;1;1;1;0;'f';0,591772914;0,591772914;0;70
-50;12502;m;24;incongruent;50;selAttGlob;['j'];Global_A_local_C.png;Vc;up_left;1;1;1;0;'j';0,559064388;0,559064388;0;99
