xPos;participant;gender;age;congruence;yPos;cond;corrAns;stimFile;condition;location;n;acc_mean;acc_raw;acc_std;resp_raw;rt_mean;rt_raw;rt_std;order
-50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_C_local_C.png;Cc;left_right;1;1;1;0;'f';0,599319458;0,599319458;0;53
50;12340;m;19;congruent;50;selAttGlob;['f'];Global_C_local_D.png;Cc;up_right;1;1;1;0;'f';0,84787935;0,84787935;0;10
50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_C_local_F.png;Cc;down_right;1;0;0;0;'j';1,594525933;1,594525933;0;80
-50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_C_local_H.png;Cc;left_right;1;1;1;0;'f';0,649634063;0,649634063;0;99
50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_C_local_T.png;Cc;down_right;1;1;1;0;'f';0,822425723;0,822425723;0;48
-50;12340;m;19;congruent;50;selAttGlob;['f'];Global_D_local_C.png;Cc;up_left;1;1;1;0;'f';0,608961046;0,608961046;0;33
50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_D_local_D.png;Cc;down_right;1;1;1;0;'f';1,349920034;1,349920034;0;83
50;12340;m;19;congruent;50;selAttGlob;['f'];Global_D_local_F.png;Cc;up_right;1;1;1;0;'f';0,646564424;0,646564424;0;47
-50;12340;m;19;congruent;50;selAttGlob;['f'];Global_D_local_H.png;Cc;up_left;1;1;1;0;'f';0,803376257;0,803376257;0;20
50;12340;m;19;congruent;50;selAttGlob;['f'];Global_D_local_T.png;Cc;up_right;1;1;1;0;'f';0,748949528;0,748949528;0;40
-50;12340;m;19;congruent;50;selAttGlob;['f'];Global_F_local_C.png;Cc;up_left;1;1;1;0;'f';0,767785132;0,767785132;0;5
50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_F_local_D.png;Cc;down_right;1;1;1;0;'f';0,535324633;0,535324633;0;17
50;12340;m;19;congruent;50;selAttGlob;['f'];Global_F_local_F.png;Cc;up_right;1;1;1;0;'f';0,79692018;0,79692018;0;31
-50;12340;m;19;congruent;50;selAttGlob;['f'];Global_F_local_H.png;Cc;up_left;1;1;1;0;'f';0,651399612;0,651399612;0;88
50;12340;m;19;congruent;50;selAttGlob;['f'];Global_F_local_T.png;Cc;up_right;1;1;1;0;'f';0,552886963;0,552886963;0;37
-50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_H_local_C.png;Cc;left_right;1;0;0;0;;-32000;-32000;0;59
50;12340;m;19;congruent;50;selAttGlob;['f'];Global_H_local_D.png;Cc;up_right;1;1;1;0;'f';0,898393512;0,898393512;0;2
50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_H_local_F.png;Cc;down_right;1;1;1;0;'f';1,175043225;1,175043225;0;9
-50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_H_local_H.png;Cc;left_right;1;0;0;0;'j';0,576739192;0,576739192;0;63
50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_H_local_T.png;Cc;down_right;1;1;1;0;'f';0,51462841;0,51462841;0;89
-50;12340;m;19;congruent;50;selAttGlob;['f'];Global_T_local_C.png;Cc;up_left;1;1;1;0;'f';0,589447439;0,589447439;0;91
50;12340;m;19;congruent;-50;selAttGlob;['f'];Global_T_local_D.png;Cc;down_right;1;1;1;0;'f';0,626280367;0,626280367;0;67
50;12340;m;19;congruent;50;selAttGlob;['f'];Global_T_local_F.png;Cc;up_right;1;1;1;0;'f';0,740446806;0,740446806;0;81
-50;12340;m;19;congruent;50;selAttGlob;['f'];Global_T_local_H.png;Cc;up_left;1;1;1;0;'f';0,63910687;0,63910687;0;11
50;12340;m;19;congruent;50;selAttGlob;['f'];Global_T_local_T.png;Cc;up_right;1;0;0;0;;-32000;-32000;0;71
50;12340;m;19;congruent;50;selAttGlob;['j'];Global_A_local_A.png;Vv;up_right;1;1;1;0;'j';0,664601803;0,664601803;0;50
-50;12340;m;19;congruent;-50;selAttGlob;['j'];Global_A_local_E.png;Vv;left_right;1;1;1;0;'j';0,581999779;0,581999779;0;15
50;12340;m;19;congruent;-50;selAttGlob;['j'];Global_A_local_I.png;Vv;down_right;1;1;1;0;'j';0,511128724;0,511128724;0;41
-50;12340;m;19;congruent;-50;selAttGlob;['j'];Global_A_local_O.png;Vv;left_right;1;1;1;0;'j';0,733394444;0,733394444;0;57
-50;12340;m;19;congruent;50;selAttGlob;['j'];Global_A_local_U.png;Vv;up_left;1;1;1;0;'j';0,669372439;0,669372439;0;19
50;12340;m;19;congruent;-50;selAttGlob;['j'];Global_E_local_A.png;Vv;down_right;1;1;1;0;'j';0,8071087;0,8071087;0;4
-50;12340;m;19;congruent;50;selAttGlob;['j'];Global_E_local_E.png;Vv;up_left;1;0;0;0;'f';0,568797946;0,568797946;0;23
50;12340;m;19;congruent;50;selAttGlob;['j'];Global_E_local_I.png;Vv;up_right;1;1;1;0;'j';0,72064513;0,72064513;0;84
-50;12340;m;19;congruent;50;selAttGlob;['j'];Global_E_local_O.png;Vv;up_left;1;1;1;0;'j';0,931479156;0,931479156;0;60
