xPos;participant;gender;age;congruence;yPos;cond;corrAns;stimFile;condition;location;n;acc_mean;acc_raw;acc_std;resp_raw;rt_mean;rt_raw;rt_std;order
-50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_C_local_C.png;Cc;left_right;1;0;0;0;'j';0,504636109;0,504636109;0;14
50;11878;M;18;congruent;50;selAttLoc;['f'];Global_C_local_D.png;Cc;up_right;1;1;1;0;'f';0,403303474;0,403303474;0;78
50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_C_local_F.png;Cc;down_right;1;1;1;0;'f';0,445616275;0,445616275;0;45
-50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_C_local_H.png;Cc;left_right;1;1;1;0;'f';0,460922539;0,460922539;0;41
50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_C_local_T.png;Cc;down_right;1;1;1;0;'f';0,511315763;0,511315763;0;99
-50;11878;M;18;congruent;50;selAttLoc;['f'];Global_D_local_C.png;Cc;up_left;1;0;0;0;'j';0,409932107;0,409932107;0;55
50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_D_local_D.png;Cc;down_right;1;1;1;0;'f';0,514717817;0,514717817;0;98
50;11878;M;18;congruent;50;selAttLoc;['f'];Global_D_local_F.png;Cc;up_right;1;1;1;0;'f';0,475199521;0,475199521;0;96
-50;11878;M;18;congruent;50;selAttLoc;['f'];Global_D_local_H.png;Cc;up_left;1;1;1;0;'f';0,420305133;0,420305133;0;4
50;11878;M;18;congruent;50;selAttLoc;['f'];Global_D_local_T.png;Cc;up_right;1;0;0;0;'j';0,401679903;0,401679903;0;69
-50;11878;M;18;congruent;50;selAttLoc;['f'];Global_F_local_C.png;Cc;up_left;1;0;0;0;'j';0,531162262;0,531162262;0;31
50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_F_local_D.png;Cc;down_right;1;1;1;0;'f';0,479698092;0,479698092;0;27
50;11878;M;18;congruent;50;selAttLoc;['f'];Global_F_local_F.png;Cc;up_right;1;1;1;0;'f';0,416092634;0,416092634;0;13
-50;11878;M;18;congruent;50;selAttLoc;['f'];Global_F_local_H.png;Cc;up_left;1;1;1;0;'f';0,502216637;0,502216637;0;17
50;11878;M;18;congruent;50;selAttLoc;['f'];Global_F_local_T.png;Cc;up_right;1;1;1;0;'f';0,413455665;0,413455665;0;36
-50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_H_local_C.png;Cc;left_right;1;1;1;0;'f';0,747758567;0,747758567;0;46
50;11878;M;18;congruent;50;selAttLoc;['f'];Global_H_local_D.png;Cc;up_right;1;1;1;0;'f';0,617331982;0,617331982;0;54
50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_H_local_F.png;Cc;down_right;1;1;1;0;'f';0,549654067;0,549654067;0;0
-50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_H_local_H.png;Cc;left_right;1;1;1;0;'f';0,382685542;0,382685542;0;32
50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_H_local_T.png;Cc;down_right;1;0;0;0;'j';0,592878342;0,592878342;0;1
-50;11878;M;18;congruent;50;selAttLoc;['f'];Global_T_local_C.png;Cc;up_left;1;1;1;0;'f';0,566944778;0,566944778;0;89
50;11878;M;18;congruent;-50;selAttLoc;['f'];Global_T_local_D.png;Cc;down_right;1;1;1;0;'f';0,493178517;0,493178517;0;91
50;11878;M;18;congruent;50;selAttLoc;['f'];Global_T_local_F.png;Cc;up_right;1;1;1;0;'f';0,401385576;0,401385576;0;34
-50;11878;M;18;congruent;50;selAttLoc;['f'];Global_T_local_H.png;Cc;up_left;1;1;1;0;'f';0,424733818;0,424733818;0;33
50;11878;M;18;congruent;50;selAttLoc;['f'];Global_T_local_T.png;Cc;up_right;1;1;1;0;'f';0,626041114;0,626041114;0;11
