xPos;participant;gender;age;congruence;yPos;cond;corrAns;stimFile;condition;location;n;acc_mean;acc_raw;acc_std;resp_raw;rt_mean;rt_raw;rt_std;order
-50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_C_local_C.png;Cc;left_right;1;1;1;0;'f';0,479924232;0,479924232;0;87
50;12346;M;23;congruent;50;selAttLoc;['f'];Global_C_local_D.png;Cc;up_right;1;1;1;0;'f';0,459130704;0,459130704;0;83
50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_C_local_F.png;Cc;down_right;1;0;0;0;'j';0,407791466;0,407791466;0;13
-50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_C_local_H.png;Cc;left_right;1;1;1;0;'f';0,494337469;0,494337469;0;69
50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_C_local_T.png;Cc;down_right;1;1;1;0;'f';0,607428908;0,607428908;0;57
-50;12346;M;23;congruent;50;selAttLoc;['f'];Global_D_local_C.png;Cc;up_left;1;1;1;0;'f';0,485581785;0,485581785;0;95
50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_D_local_D.png;Cc;down_right;1;1;1;0;'f';0,421523064;0,421523064;0;94
50;12346;M;23;congruent;50;selAttLoc;['f'];Global_D_local_F.png;Cc;up_right;1;0;0;0;'j';0,510999978;0,510999978;0;8
-50;12346;M;23;congruent;50;selAttLoc;['f'];Global_D_local_H.png;Cc;up_left;1;1;1;0;'f';0,52898705;0,52898705;0;37
50;12346;M;23;congruent;50;selAttLoc;['f'];Global_D_local_T.png;Cc;up_right;1;1;1;0;'f';0,486832559;0,486832559;0;67
-50;12346;M;23;congruent;50;selAttLoc;['f'];Global_F_local_C.png;Cc;up_left;1;1;1;0;'f';0,599421084;0,599421084;0;33
50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_F_local_D.png;Cc;down_right;1;1;1;0;'f';0,58172369;0,58172369;0;46
50;12346;M;23;congruent;50;selAttLoc;['f'];Global_F_local_F.png;Cc;up_right;1;1;1;0;'f';0,514303684;0,514303684;0;98
-50;12346;M;23;congruent;50;selAttLoc;['f'];Global_F_local_H.png;Cc;up_left;1;1;1;0;'f';0,527473748;0,527473748;0;65
50;12346;M;23;congruent;50;selAttLoc;['f'];Global_F_local_T.png;Cc;up_right;1;1;1;0;'f';0,712235451;0,712235451;0;34
-50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_H_local_C.png;Cc;left_right;1;1;1;0;'f';0,621468723;0,621468723;0;5
50;12346;M;23;congruent;50;selAttLoc;['f'];Global_H_local_D.png;Cc;up_right;1;1;1;0;'f';0,404077917;0,404077917;0;89
50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_H_local_F.png;Cc;down_right;1;1;1;0;'f';0,574067473;0,574067473;0;30
-50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_H_local_H.png;Cc;left_right;1;1;1;0;'f';0,917447329;0,917447329;0;61
50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_H_local_T.png;Cc;down_right;1;1;1;0;'f';0,537995636;0,537995636;0;53
-50;12346;M;23;congruent;50;selAttLoc;['f'];Global_T_local_C.png;Cc;up_left;1;1;1;0;'f';0,664617062;0,664617062;0;58
50;12346;M;23;congruent;-50;selAttLoc;['f'];Global_T_local_D.png;Cc;down_right;1;1;1;0;'f';0,464051664;0,464051664;0;93
50;12346;M;23;congruent;50;selAttLoc;['f'];Global_T_local_F.png;Cc;up_right;1;1;1;0;'f';0,467457324;0,467457324;0;96
-50;12346;M;23;congruent;50;selAttLoc;['f'];Global_T_local_H.png;Cc;up_left;1;1;1;0;'f';0,722856998;0,722856998;0;32
50;12346;M;23;congruent;50;selAttLoc;['f'];Global_T_local_T.png;Cc;up_right;1;1;1;0;'f';1,04433918;1,04433918;0;9
50;12346;M;23;congruent;50;selAttLoc;['j'];Global_A_local_A.png;Vv;up_right;1;1;1;0;'j';0,328569323;0,328569323;0;85
-50;12346;M;23;congruent;-50;selAttLoc;['j'];Global_A_local_E.png;Vv;left_right;1;1;1;0;'j';0,64669019;0,64669019;0;1
