xPos;participant;gender;age;congruence;yPos;cond;corrAns;stimFile;condition;location;n;acc_mean;acc_raw;acc_std;resp_raw;rt_mean;rt_raw;rt_std;order
-50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_C_local_C.png;Cc;left_right;1;1;1;0;'f';0,552157104;0,552157104;0;8
50;11644;M;19;congruent;50;selAttLoc;['f'];Global_C_local_D.png;Cc;up_right;1;1;1;0;'f';0,541748822;0,541748822;0;24
50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_C_local_F.png;Cc;down_right;1;1;1;0;'f';0,452197373;0,452197373;0;50
-50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_C_local_H.png;Cc;left_right;1;0;0;0;'j';0,41579029;0,41579029;0;31
50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_C_local_T.png;Cc;down_right;1;1;1;0;'f';0,550178349;0,550178349;0;88
-50;11644;M;19;congruent;50;selAttLoc;['f'];Global_D_local_C.png;Cc;up_left;1;1;1;0;'f';0,584864914;0,584864914;0;10
50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_D_local_D.png;Cc;down_right;1;0;0;0;'j';0,366385639;0,366385639;0;59
50;11644;M;19;congruent;50;selAttLoc;['f'];Global_D_local_F.png;Cc;up_right;1;1;1;0;'f';0,508678854;0,508678854;0;78
-50;11644;M;19;congruent;50;selAttLoc;['f'];Global_D_local_H.png;Cc;up_left;1;0;0;0;'j';0,559625924;0,559625924;0;53
50;11644;M;19;congruent;50;selAttLoc;['f'];Global_D_local_T.png;Cc;up_right;1;0;0;0;'j';0,444648117;0,444648117;0;37
-50;11644;M;19;congruent;50;selAttLoc;['f'];Global_F_local_C.png;Cc;up_left;1;1;1;0;'f';0,421500146;0,421500146;0;56
50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_F_local_D.png;Cc;down_right;1;1;1;0;'f';0,475702226;0,475702226;0;19
50;11644;M;19;congruent;50;selAttLoc;['f'];Global_F_local_F.png;Cc;up_right;1;1;1;0;'f';0,491370499;0,491370499;0;46
-50;11644;M;19;congruent;50;selAttLoc;['f'];Global_F_local_H.png;Cc;up_left;1;1;1;0;'f';0,472601175;0,472601175;0;34
50;11644;M;19;congruent;50;selAttLoc;['f'];Global_F_local_T.png;Cc;up_right;1;1;1;0;'f';0,579501629;0,579501629;0;95
-50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_H_local_C.png;Cc;left_right;1;0;0;0;'j';0,546109915;0,546109915;0;44
50;11644;M;19;congruent;50;selAttLoc;['f'];Global_H_local_D.png;Cc;up_right;1;1;1;0;'f';0,460764319;0,460764319;0;3
50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_H_local_F.png;Cc;down_right;1;1;1;0;'f';0,476981789;0,476981789;0;94
-50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_H_local_H.png;Cc;left_right;1;1;1;0;'f';0,504086018;0,504086018;0;81
50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_H_local_T.png;Cc;down_right;1;1;1;0;'f';0,476915926;0,476915926;0;61
-50;11644;M;19;congruent;50;selAttLoc;['f'];Global_T_local_C.png;Cc;up_left;1;1;1;0;'f';0,798888683;0,798888683;0;90
50;11644;M;19;congruent;-50;selAttLoc;['f'];Global_T_local_D.png;Cc;down_right;1;1;1;0;'f';0,593928397;0,593928397;0;43
50;11644;M;19;congruent;50;selAttLoc;['f'];Global_T_local_F.png;Cc;up_right;1;0;0;0;'j';0,403769702;0,403769702;0;72
-50;11644;M;19;congruent;50;selAttLoc;['f'];Global_T_local_H.png;Cc;up_left;1;1;1;0;'f';0,491988927;0,491988927;0;4
50;11644;M;19;congruent;50;selAttLoc;['f'];Global_T_local_T.png;Cc;up_right;1;0;0;0;'j';0,485958934;0,485958934;0;45
50;11644;M;19;congruent;50;selAttLoc;['j'];Global_A_local_A.png;Vv;up_right;1;1;1;0;'j';0,523899853;0,523899853;0;39
-50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_A_local_E.png;Vv;left_right;1;0;0;0;'f';0,307240427;0,307240427;0;69
50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_A_local_I.png;Vv;down_right;1;1;1;0;'j';0,440407872;0,440407872;0;30
-50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_A_local_O.png;Vv;left_right;1;1;1;0;'j';0,564146578;0,564146578;0;85
-50;11644;M;19;congruent;50;selAttLoc;['j'];Global_A_local_U.png;Vv;up_left;1;1;1;0;'j';0,38294512;0,38294512;0;14
50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_E_local_A.png;Vv;down_right;1;1;1;0;'j';0,506667316;0,506667316;0;80
-50;11644;M;19;congruent;50;selAttLoc;['j'];Global_E_local_E.png;Vv;up_left;1;0;0;0;'f';0,338853061;0,338853061;0;48
50;11644;M;19;congruent;50;selAttLoc;['j'];Global_E_local_I.png;Vv;up_right;1;1;1;0;'j';0,361714333;0,361714333;0;20
-50;11644;M;19;congruent;50;selAttLoc;['j'];Global_E_local_O.png;Vv;up_left;1;1;1;0;'j';0,332387716;0,332387716;0;21
-50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_E_local_U.png;Vv;left_right;1;1;1;0;'j';0,466878057;0,466878057;0;51
50;11644;M;19;congruent;50;selAttLoc;['j'];Global_I_local_A.png;Vv;up_right;1;1;1;0;'j';0,436462253;0,436462253;0;73
-50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_I_local_E.png;Vv;left_right;1;1;1;0;'j';0,504847109;0,504847109;0;55
50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_I_local_I.png;Vv;down_right;1;1;1;0;'j';0,617385626;0,617385626;0;42
-50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_I_local_O.png;Vv;left_right;1;1;1;0;'j';0,382508457;0,382508457;0;27
-50;11644;M;19;congruent;50;selAttLoc;['j'];Global_I_local_U.png;Vv;up_left;1;1;1;0;'j';0,450801939;0,450801939;0;11
50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_O_local_A.png;Vv;down_right;1;1;1;0;'j';0,460766941;0,460766941;0;82
-50;11644;M;19;congruent;50;selAttLoc;['j'];Global_O_local_E.png;Vv;up_left;1;1;1;0;'j';0,643786967;0,643786967;0;64
50;11644;M;19;congruent;50;selAttLoc;['j'];Global_O_local_I.png;Vv;up_right;1;1;1;0;'j';0,445322156;0,445322156;0;77
-50;11644;M;19;congruent;50;selAttLoc;['j'];Global_O_local_O.png;Vv;up_left;1;1;1;0;'j';0,543043911;0,543043911;0;99
-50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_O_local_U.png;Vv;left_right;1;1;1;0;'j';0,60010308;0,60010308;0;5
50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_U_local_A.png;Vv;down_right;1;1;1;0;'j';0,466286123;0,466286123;0;54
-50;11644;M;19;congruent;50;selAttLoc;['j'];Global_U_local_E.png;Vv;up_left;1;0;0;0;'f';0,43728891;0,43728891;0;36
50;11644;M;19;congruent;50;selAttLoc;['j'];Global_U_local_I.png;Vv;up_right;1;1;1;0;'j';0,4781968;0,4781968;0;49
-50;11644;M;19;congruent;50;selAttLoc;['j'];Global_U_local_O.png;Vv;up_left;1;1;1;0;'j';0,349005133;0,349005133;0;17
-50;11644;M;19;congruent;-50;selAttLoc;['j'];Global_U_local_U.png;Vv;left_right;1;1;1;0;'j';0,464259028;0,464259028;0;13
-50;11644;M;19;incongruent;50;selAttLoc;['f'];Global_A_local_C.png;Vc;up_left;1;0;0;0;'j';0,423843086;0,423843086;0;29
